Time,Input,Output
0.00208,1,1.243413
0.002085,1,1.24362
0.00209,1,1.243848
0.002095,1,1.244094
0.0021,1,1.244357
0.002105,1,1.244635
0.00211,1,1.244927
0.002115,1,1.245232
0.00212,1,1.245548
0.002125,1,1.245873
0.00213,1,1.246207
0.002135,1,1.246547
0.00214,1,1.246891
0.002145,1,1.24724
0.00215,1,1.24759
0.002155,1,1.247942
0.00216,1,1.248292
0.002165,1,1.248641
0.00217,1,1.248986
0.002175,1,1.249326
0.00218,1,1.249661
0.002185,1,1.249989
0.00219,1,1.250308
0.002195,1,1.250619
0.0022,1,1.250919
0.002205,1,1.251209
0.00221,1,1.251486
0.002215,1,1.251751
0.00222,1,1.252002
0.002225,1,1.25224
0.00223,1,1.252462
0.002235,1,1.25267
0.00224,1,1.252862
0.002245,1,1.253038
0.00225,1,1.253198
0.002255,1,1.253341
0.00226,1,1.253468
0.002265,1,1.253578
0.00227,1,1.253672
0.002275,1,1.253749
0.00228,1,1.253809
0.002285,1,1.253853
0.00229,1,1.253881
0.002295,1,1.253893
0.0023,1,1.25389
0.002305,1,1.253872
0.00231,1,1.253838
0.002315,1,1.253791
0.00232,1,1.25373
0.002325,1,1.253657
0.00233,1,1.25357
0.002335,1,1.253472
0.00234,1,1.253363
0.002345,1,1.253244
0.00235,1,1.253114
0.002355,1,1.252976
0.00236,1,1.25283
0.002365,1,1.252676
0.00237,1,1.252516
0.002375,1,1.25235
0.00238,1,1.252179
0.002385,1,1.252003
0.00239,1,1.251824
0.002395,1,1.251643
0.0024,1,1.251459
0.002405,1,1.251275
0.00241,1,1.25109
0.002415,1,1.250905
0.00242,1,1.250722
0.002425,1,1.25054
0.00243,1,1.25036
0.002435,1,1.250184
0.00244,1,1.250011
0.002445,1,1.249843
0.00245,1,1.249679
0.002455,1,1.249521
0.00246,1,1.249368
0.002465,1,1.249222
0.00247,1,1.249082
0.002475,1,1.24895
0.00248,1,1.248824
0.002485,1,1.248707
0.00249,1,1.248597
0.002495,1,1.248496
